Sample name,Tool,BA2
sample1,freyja,0
sample2,freyja,0
sample3,freyja,0
sample4,freyja,0.231707
sample5,freyja,0
sample6,freyja,0
sample7,freyja,0.233333
sample8,freyja,0
sample9,freyja,0
sample10,freyja,0
sample11,freyja,0.0702
sample12,freyja,0
sample13,freyja,0
sample14,freyja,0
sample15,freyja,0.666367
sample16,freyja,0
sample17,freyja,0.934783
sample18,freyja,0
sample19,freyja,0.430387
sample20,freyja,0
sample21,freyja,0
sample22,freyja,0
sample23,freyja,0
sample24,freyja,0
sample25,freyja,0
sample26,freyja,0
sample27,freyja,0
sample28,freyja,0
sample29,freyja,0
sample30,freyja,0
sample31,freyja,0.067516
sample32,freyja,0
sample33,freyja,0.181871
sample34,freyja,0
sample35,freyja,0
sample36,freyja,0
sample37,freyja,0
sample38,freyja,0
sample39,freyja,0
sample40,freyja,0
sample41,freyja,0
sample42,freyja,0.571429
sample43,freyja,0.903226
sample44,freyja,0
sample45,freyja,0.055556
sample46,freyja,0
sample47,freyja,0
sample48,freyja,0
sample49,freyja,0
sample50,freyja,0
sample51,freyja,0
sample52,freyja,0
sample53,freyja,0
sample54,freyja,0
sample55,freyja,0
sample56,freyja,0
sample57,freyja,0
sample58,freyja,0
sample59,freyja,0.410256
sample60,freyja,0.635046
sample61,freyja,0
sample62,freyja,0
sample63,freyja,0
sample64,freyja,0
sample65,freyja,0
sample66,freyja,0
sample67,freyja,0.262295
sample68,freyja,0
sample69,freyja,0
sample70,freyja,0
sample71,freyja,0
sample72,freyja,0
sample73,freyja,0
sample74,freyja,0
sample75,freyja,0
sample76,freyja,0
sample77,freyja,0
sample78,freyja,0
sample79,freyja,0.590396
sample80,freyja,0.178237
sample81,freyja,0
sample82,freyja,0.069202
sample83,freyja,0
sample84,freyja,0.608684
sample85,freyja,0
sample86,freyja,0
sample87,freyja,0
sample88,freyja,0
sample89,freyja,0
sample90,freyja,0.912
sample91,freyja,0
sample92,freyja,0.707152
sample93,freyja,0.0875
sample94,freyja,0.237898
sample95,freyja,0
sample96,freyja,0
sample97,freyja,0
sample98,freyja,0
sample99,freyja,0.076549
sample100,freyja,0.921829
sample1,lineagespot,0.1285714286
sample2,lineagespot,0.01428571429
sample3,lineagespot,0.08571428571
sample4,lineagespot,0.07142857143
sample5,lineagespot,0.1285714286
sample6,lineagespot,0.07142857143
sample7,lineagespot,0.02857142857
sample8,lineagespot,0.05714285714
sample9,lineagespot,0.1857142857
sample10,lineagespot,0.3285714286
sample11,lineagespot,0.01428571429
sample12,lineagespot,0.05714285714
sample13,lineagespot,0.07142857143
sample14,lineagespot,0.2714285714
sample15,lineagespot,0.3857142857
sample16,lineagespot,0.05714285714
sample17,lineagespot,0.4571428571
sample18,lineagespot,0.07142857143
sample19,lineagespot,0.4142857143
sample20,lineagespot,0.3714285714
sample21,lineagespot,0.01428571429
sample22,lineagespot,0.3714285714
sample23,lineagespot,0.2857142857
sample24,lineagespot,0.05714285714
sample25,lineagespot,0
sample26,lineagespot,0.05714285714
sample27,lineagespot,0.1285714286
sample28,lineagespot,0.04285714286
sample29,lineagespot,0.05714285714
sample30,lineagespot,0.01428571429
sample31,lineagespot,0.08571428571
sample32,lineagespot,0.07142857143
sample33,lineagespot,0.4
sample34,lineagespot,0.2571428571
sample35,lineagespot,0.07142857143
sample36,lineagespot,0.04285714286
sample37,lineagespot,0.02857142857
sample38,lineagespot,0.04285714286
sample39,lineagespot,0.07142857143
sample40,lineagespot,0.3714285714
sample41,lineagespot,0.05714285714
