Sample name,fr_delta,fr_ba1,fr_ba2,fr_other,co_delta,co_ba1,co_ba2,ls_delta,ls_ba1,ls_ba2
sample1 ,0.224081,0.6813550000000002,0.0,0.094155,,0.7777777778,0.7777777778,0.04545454545,0.1904761905,0.12857142859999998
sample2 ,0.203352,0.5361090000000001,0.0,0.26053899999999997,,0.5935596171,0.5935596171,0.04545454545,0.04761904762,0.01428571429
sample3 ,0.23142000000000001,0.645686,0.0,0.122894,,0.7001779359,0.7001779359,0.13636363640000002,0.15873015869999998,0.08571428571
sample4 ,0.30000000000000004,0.294218,0.231707,0.174075,,0.3188405797,0.6231884058,0.13636363640000002,0.07936507937000001,0.07142857142999999
sample5 ,0.052632,0.7156609999999999,0.0,0.23170700000000002,,0.6724137931,0.6724137931,0.09090909091,0.22222222219999999,0.12857142859999998
sample6 ,0.4366670000000001,0.374235,0.0,0.18909800000000002,,0.2839506173,0.2962962963,0.13636363640000002,0.07936507937000001,0.07142857142999999
sample7 ,0.274875,0.207921,0.233333,0.283871,,0.2166666667,0.5666666667,0.09090909091,0.03174603175,0.028571428569999998
sample8 ,0.897959,0.0,0.0,0.102041,,0.0,0.0,0.3181818182,0.06349206349,0.057142857139999996
sample9 ,0.10019800000000001,0.8125000000000001,0.0,0.087302,,0.914893617,0.914893617,0.13636363640000002,0.3333333333,0.1857142857
sample10 ,0.09449800000000001,0.8231250000000001,0.0,0.082377,,0.8544973545000001,0.8553791887000001,0.13636363640000002,0.5238095238,0.3285714286
sample11 ,0.6343089999999999,0.07501699999999999,0.0702,0.219697,,0.0990443093,0.2189400521,0.1818181818,0.01587301587,0.01428571429
sample12 ,0.7454760000000001,0.16712500000000002,0.0,0.08739899999999999,,0.1657271702,0.1657271702,0.3636363636,0.06349206349,0.057142857139999996
sample13 ,0.84103,0.064103,0.0,0.094867,,0.07766990291,0.07766990291,0.3636363636,0.07936507937000001,0.07142857142999999
sample14 ,0.072996,0.7959180000000001,0.0,0.131086,,0.9,0.9,0.09090909091,0.44444444439999997,0.2714285714
sample15 ,0.117647,0.08421100000000001,0.6663670000000002,0.13088650000000002,,0.06849315068,0.8630136986,0.13636363640000002,0.3650793651,0.3857142857
sample16 ,0.911504,0.001111,0.0,0.087385,,0.008230452675,0.008230452675,0.5454545454999999,0.06349206349,0.057142857139999996
sample17 ,0.0,0.0,0.934783,0.065217,,0.0,1.0,0.09090909091,0.3333333333,0.4571428571
sample18 ,0.246969,0.6423229999999999,0.0,0.110708,,0.5415019763000001,0.5438735178,0.13636363640000002,0.11111111109999999,0.07142857142999999
sample19 ,0.0,0.445642,0.43038699999999996,0.123971,,0.4342948718,0.9487179487,0.09090909091,0.3968253968,0.4142857143
sample20 ,0.0,0.9097440000000001,0.0,0.089286,,0.9087261784999999,0.9137412237,0.09090909091,0.5714285714,0.3714285714
sample21 ,0.844652,0.006173,0.0,0.149175,,0.009606147935,0.009606147935,0.5,0.01587301587,0.01428571429
sample22 ,0.0,0.9232750000000001,0.0,0.076725,,0.8990450205,0.9045020464,0.09090909091,0.5714285714,0.3714285714
sample23 ,0.0,0.9117649999999999,0.0,0.08823500000000001,,0.8333333333,0.85,0.04545454545,0.46031746030000004,0.2857142857
sample24 ,0.541965,0.375834,0.0,0.08220100000000001,,0.3540723982,0.3540723982,0.13636363640000002,0.07936507937000001,0.057142857139999996
sample25 ,0.195122,0.48837200000000003,0.0,0.316506,,0.6031746032,0.6031746032,0.04545454545,0.01587301587,0.0
sample26 ,0.481013,0.347826,0.0,0.171161,,0.3846153846,0.3846153846,0.13636363640000002,0.09523809524,0.057142857139999996
sample27 ,0.290013,0.62478,0.0,0.085198,,0.6556291391,0.6556291391,0.13636363640000002,0.17460317460000002,0.12857142859999998
sample28 ,0.926027,0.0,0.0,0.073973,,0.025,0.025,0.5454545454999999,0.04761904762,0.04285714286
