Sample	Tool	% of lineage
sample1	freyja	0.224081
sample2	freyja	0.203352
sample3	freyja	0.23142
sample4	freyja	0.3
sample5	freyja	0.052632
sample6	freyja	0.436667
sample7	freyja	0.274875
sample8	freyja	0.897959
sample9	freyja	0.100198
sample10	freyja	0.094498
sample11	freyja	0.634309
sample12	freyja	0.745476
sample13	freyja	0.84103
sample14	freyja	0.072996
sample15	freyja	0.117647
sample16	freyja	0.911504
sample17	freyja	0
sample18	freyja	0.246969
sample19	freyja	0
sample20	freyja	0
sample21	freyja	0.844652
sample22	freyja	0
sample23	freyja	0
sample24	freyja	0.541965
sample25	freyja	0.195122
sample26	freyja	0.481013
sample27	freyja	0.290013
sample28	freyja	0.926027
sample29	freyja	0.862601
sample30	freyja	0.812792
sample31	freyja	0.087081
sample32	freyja	0.688759
sample33	freyja	0
sample34	freyja	0
sample35	freyja	0.698582
sample36	freyja	0.835872
sample37	freyja	0.397727
sample38	freyja	0.729878
sample39	freyja	0.82956
sample40	freyja	0
sample41	freyja	0.666667
sample42	freyja	0.068966
sample43	freyja	0
sample44	freyja	0.72198
sample45	freyja	0
sample46	freyja	0.007194
sample47	freyja	0.465909
sample48	freyja	0.480519
sample49	freyja	0.903571
sample50	freyja	0.225352
sample51	freyja	0.927872
sample52	freyja	0
sample53	freyja	0.103448
sample54	freyja	0.903846
sample55	freyja	0.823401
sample56	freyja	0.006829
sample57	freyja	0.919355
sample58	freyja	0.908354
sample59	freyja	0
sample60	freyja	0
sample61	freyja	0.831579
sample62	freyja	0.572321
sample63	freyja	0
sample64	freyja	0.897778
sample65	freyja	0.084507
sample66	freyja	0
sample67	freyja	0.3208
sample68	freyja	0
sample69	freyja	0.3
sample70	freyja	0.096416
sample71	freyja	0
sample72	freyja	0.908759
sample73	freyja	0.76
sample74	freyja	0
sample75	freyja	0
sample76	freyja	0
sample77	freyja	0
sample78	freyja	0.736406
sample79	freyja	0.081736
sample80	freyja	0
sample81	freyja	0.693016
sample82	freyja	0.095553
sample83	freyja	0
sample84	freyja	0
sample85	freyja	0.392701
sample86	freyja	0.010158
sample87	freyja	0.087404
sample88	freyja	0.469853
sample89	freyja	0.005294
sample90	freyja	0
sample91	freyja	0.559961
sample92	freyja	0.098374
sample93	freyja	0.626667
sample94	freyja	0.264423
sample95	freyja	0
sample96	freyja	0.117359
sample97	freyja	0
sample98	freyja	0
sample99	freyja	0.74175
sample100	freyja	0
sample1	lineagespot	0.04545454545
sample2	lineagespot	0.04545454545
sample3	lineagespot	0.1363636364
sample4	lineagespot	0.1363636364
sample5	lineagespot	0.09090909091
sample6	lineagespot	0.1363636364
sample7	lineagespot	0.09090909091
sample8	lineagespot	0.3181818182
sample9	lineagespot	0.1363636364
sample10	lineagespot	0.1363636364
sample11	lineagespot	0.1818181818
sample12	lineagespot	0.3636363636
sample13	lineagespot	0.3636363636
sample14	lineagespot	0.09090909091
sample15	lineagespot	0.1363636364
sample16	lineagespot	0.5454545455
sample17	lineagespot	0.09090909091
sample18	lineagespot	0.1363636364
sample19	lineagespot	0.09090909091
sample20	lineagespot	0.09090909091
sample21	lineagespot	0.5
sample22	lineagespot	0.09090909091
sample23	lineagespot	0.04545454545
sample24	lineagespot	0.1363636364
sample25	lineagespot	0.04545454545
sample26	lineagespot	0.1363636364
sample27	lineagespot	0.1363636364
sample28	lineagespot	0.5454545455
sample29	lineagespot	0.5
sample30	lineagespot	0.4090909091
sample31	lineagespot	0.09090909091
sample32	lineagespot	0.2727272727
sample33	lineagespot	0.09090909091
sample34	lineagespot	0.09090909091
sample35	lineagespot	0.2727272727
sample36	lineagespot	0.3636363636
sample37	lineagespot	0.09090909091
sample38	lineagespot	0.3181818182
sample39	lineagespot	0.5
sample40	lineagespot	0.09090909091
sample41	lineagespot	0.2727272727
sample42	lineagespot	0.04545454545
sample43	lineagespot	0.09090909091
sample44	lineagespot	0.3181818182
sample45	lineagespot	0.1363636364
sample46	lineagespot	0.1363636364
sample47	lineagespot	0.1363636364
sample48	lineagespot	0.1363636364
sample49	lineagespot	0.4545454545
sample50	lineagespot	0.1363636364
sample51	lineagespot	0.5909090909
sample52	lineagespot	0.09090909091
sample53	lineagespot	0.1363636364
sample54	lineagespot	0.5
sample55	lineagespot	0.5
sample56	lineagespot	0.1363636364
sample57	lineagespot	0.5
sample58	lineagespot	0.5909090909
sample59	lineagespot	0.09090909091
sample60	lineagespot	0.09090909091
sample61	lineagespot	0.4545454545
sample62	lineagespot	0.1818181818
sample63	lineagespot	0.09090909091
sample64	lineagespot	0.5454545455
sample65	lineagespot	0.1363636364
sample66	lineagespot	
sample67	lineagespot	0.1363636364
sample68	lineagespot	
sample69	lineagespot	0.1363636364
sample70	lineagespot	0.1363636364
sample71	lineagespot	
sample72	lineagespot	0.5909090909
sample73	lineagespot	0.3181818182
sample74	lineagespot	0.04545454545
sample75	lineagespot	
sample76	lineagespot	0.09090909091
sample77	lineagespot	0.04545454545
sample78	lineagespot	0.3636363636
sample79	lineagespot	0.1363636364
sample80	lineagespot	0.09090909091
sample81	lineagespot	0.2727272727
sample82	lineagespot	0.1363636364
sample83	lineagespot	0.1363636364
sample84	lineagespot	0.09090909091
sample85	lineagespot	0.09090909091
sample86	lineagespot	0.1363636364
sample87	lineagespot	0.09090909091
sample88	lineagespot	0.1363636364
sample89	lineagespot	0.09090909091
sample90	lineagespot	0.09090909091
sample91	lineagespot	0.1818181818
sample92	lineagespot	0.1818181818
sample93	lineagespot	0.1363636364
sample94	lineagespot	0.1363636364
sample95	lineagespot	0.04545454545
sample96	lineagespot	0.1363636364
sample97	lineagespot	0.09090909091
sample98	lineagespot	0
sample99	lineagespot	0.3181818182
sample100	lineagespot	0.09090909091
sample1	expected	0.25
sample2	expected	0.25
sample3	expected	0.25
sample4	expected	0.33325
sample5	expected	0.1
sample6	expected	0.5
sample7	expected	0.3
sample8	expected	0.99
sample9	expected	0.1
sample10	expected	0.1
sample11	expected	0.7
sample12	expected	0.75
sample13	expected	0.9
sample14	expected	0.1
sample15	expected	0.1
sample16	expected	0.99
sample17	expected	0
sample18	expected	0.25
sample19	expected	0
sample20	expected	0
sample21	expected	0.89
sample22	expected	0
sample23	expected	0
sample24	expected	0.5
sample25	expected	0.25
sample26	expected	0.5
sample27	expected	0.25
sample28	expected	0.99
sample29	expected	0.9
sample30	expected	0.89
sample31	expected	0.1
sample32	expected	0.75
sample33	expected	0
sample34	expected	0.01
sample35	expected	0.75
sample36	expected	0.9
sample37	expected	0.45
sample38	expected	0.75
sample39	expected	0.9
sample40	expected	0
sample41	expected	0.75
sample42	expected	0.1
sample43	expected	0
sample44	expected	0.8
sample45	expected	0.1
sample46	expected	0.01
sample47	expected	0.5
sample48	expected	0.5
sample49	expected	0.99
sample50	expected	0.25
sample51	expected	1
sample52	expected	0
sample53	expected	0.1
sample54	expected	1
sample55	expected	0.9
sample56	expected	0.01
sample57	expected	1
sample58	expected	0.99
sample59	expected	0
sample60	expected	0
sample61	expected	0.9
sample62	expected	0.65
sample63	expected	0
sample64	expected	0.99
sample65	expected	0.1
sample66	expected	0
sample67	expected	0.3333333333
sample68	expected	0
sample69	expected	0.25
sample70	expected	0.1
sample71	expected	0
sample72	expected	1
sample73	expected	0.8
sample74	expected	0.01
sample75	expected	0
sample76	expected	0
sample77	expected	0.01
sample78	expected	0.8
sample79	expected	0.1
sample80	expected	0
sample81	expected	0.75
sample82	expected	0.1
sample83	expected	0
sample84	expected	0
sample85	expected	0.45
sample86	expected	0.01
sample87	expected	0.1
sample88	expected	0.5
sample89	expected	0.01
sample90	expected	0
sample91	expected	0.65
sample92	expected	0.1
sample93	expected	0.7
sample94	expected	0.3
sample95	expected	0.01
sample96	expected	0.1
sample97	expected	0
sample98	expected	0
sample99	expected	0.8
sample100	expected	0
