Sample name	summarized	lineages	abundances	resid	coverage
sample1 	[('Omicron', 0.6999889999983451), ('Delta', 0.22408099987442534), ('Other', 0.07552100018490182)]	BA.1.18 AY.4 BA.1.19 BA.1.1.13 BA.1.15.1 AY.38 BA.1.9 BA.1.16 B B.1.617.2 B.1.1.529 XS	0.23943700 0.11764700 0.11363600 0.10000000 0.09667000 0.06944400 0.06686400 0.06474800 0.06122400 0.03699000 0.01863400 0.01429700	7.611495978	99.95971667
sample2 	[('Omicron', 0.5564249999753313), ('Other', 0.24022300003103397), ('Delta', 0.20335199999279305)]	BA.1.18 B BA.1.15.1 AY.4 BA.1.1.13 BA.1.16 B.1.1.529 BA.1.3 AY.28 AY.75 AY.4.9 AY.9.2 BA.1.19 AY.4.2 AY.25 BA.1.1.10 AY.43 BA.1.1.1	0.27629300 0.24022300 0.10945300 0.10368200 0.05707500 0.04652700 0.02031600 0.02015500 0.02007800 0.01848900 0.01824700 0.01811000 0.01755500 0.01224700 0.00881100 0.00610800 0.00368800 0.00294300	8.854502014	99.95971667
sample3 	[('Omicron', 0.6520859998757546), ('Delta', 0.23142000012779926), ('Other', 0.11649399999849194)]	BA.1.18 BA.1.15.1 BA.1.1.13 AY.4 BA.1.19 B BA.1.16 AY.9.2 B.1.78 AY.4.9 AY.43 AY.28 BA.1.1.10 AY.4.2 BA.1.10 B.1.1.529 BA.1.1.1 AY.25.1 AY.25	0.26797900 0.11081800 0.10103100 0.09687500 0.08242400 0.07170300 0.05201800 0.04571700 0.04479100 0.03459200 0.01771600 0.01724100 0.01683700 0.00985200 0.00851500 0.00640000 0.00606400 0.00593500 0.00349200	6.028605498	99.95971667
sample4 	[('Omicron', 0.338889000007649), ('Delta', 0.29999999976359504), ('BA.2* [Omicron (BA.2.X)]', 0.23170700000901492), ('Other', 0.12940399999349844)]	BA.1.18 AY.6 BA.2 B AY.9.2 BA.2.3 BA.2.5 BA.1.1 B.1.1.529 B.1.617.2 BA.1.1.1 miscBA2BA1PostSpike AY.38	0.20493200 0.16666700 0.11956500 0.11111100 0.07407400 0.05808800 0.05405400 0.04760800 0.04467100 0.04358900 0.04167800 0.01829300 0.01567000	9.028241094	99.95971667
sample5 	[('Omicron', 0.720000000001109), ('Other', 0.22736800000611257), ('Delta', 0.05263200000008266)]	BA.1.18 BA.1.15.1 B BA.1.19 B.1.78 BA.1.1.13 AY.75 BA.1.16 B.1.1.529	0.33333300 0.14814800 0.13333300 0.10869600 0.09403500 0.08521600 0.05263200 0.04026800 0.00433900	9.059850832	99.95971667
sample6 	[('Delta', 0.43666699993977093), ('Omicron', 0.41176499998680083), ('Other', 0.15156799990595002)]	AY.4 BA.1.15 BA.1.10 B AY.43 B.1.78 BA.1 AY.4.9 AY.9.2 AY.28 B.1.1.529 AY.38 BA.1.9	0.18720600 0.17241400 0.12195100 0.08778600 0.07176900 0.06378200 0.05790800 0.05769200 0.05333300 0.04065000 0.03753000 0.02601700 0.02196200	9.166476006	99.95971667
sample7 	[('Omicron', 0.29666699984621786), ('Delta', 0.2748749999386202), ('BA.2* [Omicron (BA.2.X)]', 0.23333300000123866), ('Other', 0.19512500019388215)]	B AY.4 BA.2.3.9 BA.2.5 B.1.1.529 BA.1.18 BA.1.19 BA.1.1 B.1.617.2 AY.38 AY.9.2 B.1	0.17187500 0.16666700 0.13793100 0.09540200 0.08874600 0.07692300 0.07544200 0.05555600 0.03762000 0.03550000 0.03508800 0.02325000	11.55129781	99.95971667
sample8 	[('Delta', 0.8979589997789147), ('Other', 0.10204099998738828)]	AY.4.9 AY.38 AY.9.2 AY.43 B AY.25 AY.4 AY.6 AY.25.1 B.1 B.1.617.2	0.24000000 0.19570700 0.11111100 0.09411800 0.08938500 0.07730800 0.07506800 0.04950800 0.04464300 0.01265600 0.01049600	5.310213933	99.95971667
sample9 	[('Omicron', 0.8124999999849153), ('Delta', 0.10019799995433824), ('Other', 0.08730200010158526)]	BA.1.18 BA.1.15.1 BA.1.19 BA.1.15 AY.9 B BA.1.10 BA.1.1.1 BA.1.16 B.1.617.2 B.1	0.27439000 0.13888900 0.12820500 0.10501300 0.07142900 0.06766900 0.06579400 0.05172400 0.04848500 0.02876900 0.01963300	5.694703086	99.95971667
sample10 	[('Omicron', 0.829818999961483), ('Delta', 0.09449799998382989), ('Other', 0.07568300004429843)]	BA.1.18 BA.1.15.1 BA.1.19 BA.1.1.13 BA.1.16 B AY.4 BA.1.1.1 BA.1.3 AY.9.2 B.1.78 AY.28 BA.1.10 B.1.1.529	0.30571600 0.14277500 0.10671500 0.08486700 0.07287900 0.06250000 0.06113500 0.06011900 0.04140800 0.02249300 0.01318300 0.01087000 0.00864600 0.00669400	4.295982283	99.95971667
sample11 	[('Delta', 0.6343089998178454), ('Other', 0.2172990000357396), ('Omicron', 0.09591700000850834), ('BA.2* [Omicron (BA.2.X)]', 0.05169800000540907)]	B AY.4 AY.9.2 AY.4.9 AY.43 AY.28 BA.1.18 AY.129 AY.6 AY.4.2 AY.75 BA.2.5 B.1.1.529 BA.2.3.16 AY.25 BA.2.3 BA.1.15.1 AY.4.10 BA.2 AY.25.1 BA.1.1.13 AY.46 AY.113 BA.1.16	0.19879700 0.13594700 0.11499000 0.06922800 0.05602600 0.05304800 0.04412600 0.04231400 0.04112800 0.03571400 0.02557300 0.02093000 0.02090000 0.01850200 0.01849400 0.01611300 0.01502400 0.01485100 0.01465500 0.01135700 0.01030500 0.00815000 0.00748900 0.00556200	8.642476941	99.95971667
sample12 	[('Delta', 0.7454759998605465), ('Omicron', 0.1671250000004442), ('Other', 0.08739900001607513)]	AY.4 AY.113 AY.9.2 AY.28 B AY.4.9 AY.43 AY.6 AY.4.2 BA.1.18 BA.1.19 BA.1.10 B.1.617.2 AY.4.10 BA.1.16 AY.25.1 BA.1.1.13 B.1 BA.1.15.1 BA.1.15 BA.1.9 AY.38 BA.1.3 AY.25 BA.1	0.15863800 0.12819300 0.12763200 0.07330100 0.07269500 0.05192800 0.05155100 0.03894800 0.03659400 0.02784200 0.02660200 0.02586200 0.02576500 0.01929300 0.01777800 0.01644700 0.01639300 0.01470400 0.01461400 0.01418200 0.01404900 0.01161500 0.00732900 0.00557100 0.00247400	7.141982539	99.95971667
sample13 	[('Delta', 0.8410300000198068), ('Other', 0.08579899999149503), ('Omicron', 0.07317099984655799)]	AY.4 AY.4.9 AY.9 B AY.43 AY.28 BA.1.10 AY.38 B.1.617.2 BA.1.9 B.1.1.529	0.31141200 0.23404300 0.12396700 0.08579900 0.06097600 0.05000000 0.04717000 0.04029200 0.02034000 0.01693300 0.00906800	6.237807755	99.95971667
sample14 	[('Omicron', 0.8132859999804527), ('Other', 0.11371800001193431), ('Delta', 0.07299599999997662)]	BA.1.10 BA.1.15.1 BA.1.9 BA.1.1.13 B BA.1.18 AY.4 BA.1.16 BA.1.3 B.1.78 B.1.1.529 miscDeltaBA1Post11k	0.30065500 0.11363600 0.09210600 0.09090900 0.08928600 0.08750000 0.07299600 0.05555600 0.05555600 0.01771800 0.01736800 0.00671400	5.046422112	99.95971667
sample15 	[('BA.2* [Omicron (BA.2.X)]', 0.6663669998878751), ('Omicron', 0.1622040000936792), ('Delta', 0.11764699999779862), ('Other', 0.05289349999576475)]	BA.2.3.9 BA.2.3 BA.2 BA.2.5 BA.1.1 AY.4 B.1.1.529 BA.2.8 B BA.2.11 B.1.617.2 BA.5 BA.1.1.1	0.21428600 0.18571400 0.08501550 0.07758600 0.07432400 0.06849300 0.05934450 0.05349400 0.05289350 0.05027150 0.04915400 0.01864850 0.00988700	6.297766696	99.95971667
sample16 	[('Delta', 0.9115039999175192), ('Other', 0.08738500000561193), ('Omicron', 0.0011110000006601052)]	AY.6 AY.9.2 AY.4 AY.28 AY.4.9 B AY.43 AY.4.2 AY.4.10 AY.25 AY.113 AY.25.1 miscDeltaBA1Post11k B.1 BA.1.9	0.26723100 0.15794800 0.10495100 0.09437000 0.08376400 0.08098900 0.06686600 0.04677100 0.03255500 0.02546300 0.01691800 0.01466700 0.00383900 0.00255700 0.00111100	4.152769013	99.95971667
sample17 	[('BA.2* [Omicron (BA.2.X)]', 0.9347829999960701), ('Other', 0.0652169999990141)]	BA.2.3.9 BA.2.23 BA.2.5 B BA.2 BA.2.16	0.47058800 0.23755400 0.13207500 0.06521700 0.05978300 0.03478300	2.895285681	99.95971667
sample18 	[('Omicron', 0.6681510000033318), ('Delta', 0.246969000038745), ('Other', 0.084879999976356)]	BA.1.1 BA.1.18 BA.1.10 BA.1.15 B BA.1.3 AY.4 BA.1.15.1 BA.1.19 AY.9 BA.1.1.13 B.1.1.529 B.1.617.2 AY.4.2 AY.25 AY.43 AY.4.10 AY.9.2 AY.113 AY.28 BA.1.16 AY.4.9 AY.38	0.14052100 0.10411600 0.10259400 0.08551100 0.08488000 0.06139400 0.05564500 0.04993900 0.04971100 0.04629200 0.03803300 0.02582800 0.02245600 0.02173900 0.02000000 0.01597100 0.01582700 0.01540000 0.01330800 0.01231800 0.01050400 0.00593600 0.00207700	6.641187205	99.95971667
sample19 	[('Omicron', 0.49409799998514453), ('BA.2* [Omicron (BA.2.X)]', 0.2949649999926127), ('Other', 0.21093699999587354)]	BA.1.18 BA.2.3.16 BA.2 B BA.2.23 BA.1.15.1 BA.1.1.13 BA.2.5 BA.1.1.1 BA.2.8 XAC BA.1.16 BA.1.3 B.1.1.529 BA.2.4 BA.2.1 BA.1.1.14 BA.2.3.9 BA.3	0.22177100 0.13542200 0.10358600 0.07551500 0.07009000 0.05990800 0.05882400 0.05788200 0.04665600 0.03835400 0.03620300 0.03529400 0.01526700 0.00923100 0.00908000 0.00815500 0.00792200 0.00781800 0.00302200	4.177820236	99.95971667
sample20 	[('Omicron', 0.9097439999994358), ('Other', 0.08928600000309726)]	BA.1.18 BA.1.10 BA.1.1 BA.1.15.1 B BA.1.3 BA.1.15 BA.1.1.13 BA.1.19 BA.1.1.1 BA.1.16 B.1.78	0.17951800 0.17473100 0.16034900 0.08620700 0.08241900 0.08155100 0.07149600 0.06679600 0.04225400 0.02389700 0.02294500 0.00686700	1.454702337	99.95971667
